UnixTimeStamp,TimeStamp,X,Y,Z
1215697396343,2008-07-10 13:43:16,01.05,01.10,01.05
1215697397344,2008-07-10 13:43:17,00.83,01.20,00.88
1215697398344,2008-07-10 13:43:18,01.00,01.05,00.90
1215697399359,2008-07-10 13:43:19,00.91,01.40,01.02
1215697400360,2008-07-10 13:43:20,01.40,01.65,01.02
1215697401360,2008-07-10 13:43:21,00.97,01.16,01.00
1215697402374,2008-07-10 13:43:22,01.09,01.36,00.89
1215697403374,2008-07-10 13:43:23,00.95,01.00,00.93
1215697404374,2008-07-10 13:43:24,01.00,01.13,00.84
1215697405375,2008-07-10 13:43:25,00.85,01.46,00.93
1215697406375,2008-07-10 13:43:26,01.12,01.27,01.07
1215697407375,2008-07-10 13:43:27,01.12,01.17,00.93
1215697408390,2008-07-10 13:43:28,00.95,01.27,01.34
1215697409391,2008-07-10 13:43:29,01.14,01.26,00.91
1215697410391,2008-07-10 13:43:30,00.84,01.54,01.16
1215697411406,2008-07-10 13:43:31,01.20,01.18,01.00
1215697412407,2008-07-10 13:43:32,00.92,01.55,00.66
1215697413407,2008-07-10 13:43:33,01.00,01.26,01.13
1215697414407,2008-07-10 13:43:34,01.00,01.08,00.97
1215697415407,2008-07-10 13:43:35,01.08,01.61,01.03
1215697416407,2008-07-10 13:43:36,01.20,01.25,00.98
1215697417407,2008-07-10 13:43:37,00.97,01.89,01.06
1215697418407,2008-07-10 13:43:38,01.21,01.54,01.10
1215697419421,2008-07-10 13:43:39,01.33,01.41,00.85
1215697420422,2008-07-10 13:43:40,02.26,04.51,04.31
1215697421422,2008-07-10 13:43:41,07.88,18.05,10.83
1215697422422,2008-07-10 13:43:42,01.18,01.32,00.97
1215697423422,2008-07-10 13:43:43,01.08,01.20,00.68
1215697424435,2008-07-10 13:43:44,01.27,01.32,01.05
1215697425438,2008-07-10 13:43:45,06.61,10.59,07.05
1215697426438,2008-07-10 13:43:46,00.93,01.51,01.34
1215697427438,2008-07-10 13:43:47,05.17,13.15,02.68
1215697428438,2008-07-10 13:43:48,00.88,01.29,01.00
1215697429438,2008-07-10 13:43:49,00.98,01.74,00.90
1215697430439,2008-07-10 13:43:50,01.22,01.27,00.93
1215697431453,2008-07-10 13:43:51,01.02,01.43,01.02
1215697432453,2008-07-10 13:43:52,01.10,01.22,00.80
